date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_hazardous,miss_distance_km,relative_velocity_kph
2019-01-11,3797676,(2018 AU11),25.3,0.0231502122,0.0517654482,False,23714675.380645328,61225.5082805914
2019-01-11,3825598,(2018 NF2),22.8,0.0732073989,0.1636967205,False,14215708.961110085,52110.8725848991
2019-01-11,3836308,(2018 WR1),20.3,0.2315021222,0.5176544822,True,18221196.882049582,51453.8015804575
2019-01-11,3837534,(2018 YT2),25.2,0.0242412481,0.0542050786,False,7975841.809723339,28299.5415715362
2019-01-11,3837562,(2019 AQ),23.2,0.0608912622,0.1361570015,False,14252925.365696566,79805.1486976189
2019-01-11,3837603,(2019 AD3),26.0,0.0167708462,0.0375007522,False,8410906.359440042,25637.1185249585
2019-01-11,3837641,(2019 AU3),23.2,0.0608912622,0.1361570015,False,25295621.57182369,31444.7871562282
2019-01-11,3837917,(2019 AM13),22.05,0.1034081995,0.2312277636,False,32172429.569697978,111667.1117615593
2019-01-11,3837923,(2019 AV13),22.25,0.0943093989,0.2108822268,False,28511348.153919892,35398.3313672001
2019-01-11,3986636,(2020 AD3),21.6,0.1272198785,0.2844722965,True,10426089.554837841,75530.2142967862
2019-01-11,54246382,(2022 CW4),23.36,0.0565659358,0.1264852778,False,53950376.831968733,43023.6771720379
2019-01-11,54339764,(2023 BA1),27.05,0.01034082,0.0231227764,False,34896987.957770738,66692.3547975037
2019-01-11,54419491,(2024 AW1),24.44,0.0343997255,0.0769201245,False,72871840.206544503,51035.1489192805
2019-01-11,54435730,(2024 GP7),27.68,0.0077366861,0.017299756,False,68278351.080786495,22015.7654033614
2019-01-11,2791587,791587 (2020 AD3),21.61,0.1266353563,0.283165265,True,10426089.539878054,75530.2143096
2019-01-10,2530531,530531 (2011 OL5),20.24,0.2379879547,0.5321572445,False,25959194.908233296,29729.5963114645
2019-01-10,3402247,(2008 CH70),24.45,0.0342416731,0.0765667087,False,10011576.012512388,32824.291470611
2019-01-10,3655395,(2013 YM2),25.7,0.0192555078,0.0430566244,False,2981575.951092841,15598.7719009322
2019-01-10,3661459,(2014 CB13),26.4,0.0139493823,0.0311917671,False,62935191.439125214,63359.2639591823
2019-01-10,3836172,(2018 VW6),22.06,0.102933082,0.2301653685,False,11412104.33011122,26475.0098941845
2019-01-10,3836757,(2018 XC2),21.51,0.1326034968,0.2965104328,False,26905328.641659754,31054.5219529479
2019-01-10,3837539,(2018 YQ2),26.1,0.0160160338,0.0358129403,False,2872149.462485858,20457.3677365284
2019-01-10,3837541,(2019 AD),27.4,0.0088014652,0.0196806745,False,1151379.931656065,20141.0662606687
